e_y_nm,sigmay_nm,nx,ny,nz,nm,seed,L,solver
1,0.7004,512,256,128,50000,5,6.603594,3d
2,0.9905,512,256,128,30000,2,4.721764,3d
2,0.9905,512,256,128,30000,3,4.772647,3d
2,0.9905,512,256,128,30000,4,4.839051,3d
2,0.9905,512,256,128,30000,5,4.537343,3d
2,0.9905,512,256,128,50000,2,4.705860,3d
2,0.9905,512,256,128,50000,3,4.638261,3d
2,0.9905,512,256,128,50000,4,4.870184,3d
2,0.9905,512,256,128,50000,5,4.438698,3d
20,3.1323,512,512,256,100000,1,1.365736,3d
20,3.1323,512,512,256,100000,2,1.374373,3d
20,3.1323,512,512,256,100000,3,1.373386,3d
20,3.1323,512,256,128,10000,1,1.318117,3d
20,3.1323,512,256,128,10000,2,1.278729,3d
20,3.1323,512,256,128,10000,3,1.349420,3d
16,2.8016,512,512,256,100000,1,1.544674,3d
16,2.8016,512,512,256,100000,2,1.558724,3d
16,2.8016,512,512,256,100000,3,1.559940,3d
16,2.8016,512,256,128,14000,1,1.537674,3d
